title,model,year,price,city
Toyota Prius 2013 for sale in Karachi,Toyota,2013,3900000,Karachi
Suzuki Mehran 2015 for sale in Rawalpindi,Suzuki,2015,1290000,Rawalpindi
Toyota Hilux 2021 for sale in Multan,Toyota,2021,11900000,Multan
KIA Sorento 2022 for sale in Karachi,KIA,2022,8700000,Karachi
Honda Civic 2008 for sale in Lahore,Honda,2008,2485000,Lahore
Honda City 2019 for sale in Karachi,Honda,2019,3700000,Karachi
Toyota Raize 2020 for sale in Lahore,Toyota,2020,5690000,Lahore
Haval H6 2023 for sale in Islamabad,Haval,2023,9400000,Islamabad
Honda City 2010 for sale in Multan,Honda,2010,2550000,Multan
Hyundai Santa Fe 2024 for sale in Karachi,Hyundai,2024,13500000,Karachi
Toyota Fortuner 2021 for sale in Lahore,Toyota,2021,15500000,Lahore
Toyota Corolla 2012 for sale in Lahore,Toyota,2012,3350000,Lahore
Suzuki Every 2013 for sale in Wah cantt,Suzuki,2013,1950000,Wah cantt
Honda City 2022 for sale in Multan,Honda,2022,4400000,Multan
Suzuki Bolan 2019 for sale in Pindi gheb,Suzuki,2019,1700000,Pindi gheb
Honda Civic 2017 for sale in Lahore,Honda,2017,4690000,Lahore
Suzuki Khyber 1999 for sale in Karachi,Suzuki,1999,484000,Karachi
Toyota Passo 2022 for sale in Rawalpindi,Toyota,2022,4900000,Rawalpindi
Suzuki Wagon R 2016 for sale in Rahwali,Suzuki,2016,1725000,Rahwali
Toyota Surf 1993 for sale in Lahore,Toyota,1993,3150000,Lahore
Toyota Corolla 2016 for sale in Karachi,Toyota,2016,3650000,Karachi
Toyota Corolla 2017 for sale in Islamabad,Toyota,2017,5150000,Islamabad
Toyota Corolla 2014 for sale in Karachi,Toyota,2014,2850000,Karachi
Suzuki Mehran 2008 for sale in Lahore,Suzuki,2008,1000000,Lahore
Toyota Prado 1998 for sale in Islamabad,Toyota,1998,4700000,Islamabad
Suzuki Swift 2015 for sale in Sialkot,Suzuki,2015,2500000,Sialkot
Toyota Yaris Sedan 2020 for sale in Multan,Toyota,2020,4100000,Multan
Suzuki Cultus 2006 for sale in Mardan,Suzuki,2006,690000,Mardan
Suzuki Cultus 2007 for sale in Faisalabad,Suzuki,2007,860000,Faisalabad
Suzuki Swift 2010 for sale in Rawalpindi,Suzuki,2010,2050000,Rawalpindi
Suzuki Mehran 1994 for sale in Jampur,Suzuki,1994,420000,Jampur
Honda Civic 2013 for sale in Lahore,Honda,2013,3250000,Lahore
Honda City 2023 for sale in Multan,Honda,2023,5400000,Multan
Toyota Land Cruiser 2022 for sale in Karachi,Toyota,2022,53000000,Karachi
Toyota Prado 2018 for sale in Karachi,Toyota,2018,24500000,Karachi
BMW i5 2024 for sale in Lahore,BMW,2024,36500000,Lahore
Suzuki Alto 2020 for sale in Lahore,Suzuki,2020,2500000,Lahore
Toyota Aqua 2013 for sale in Karachi,Toyota,2013,3280000,Karachi
Suzuki Swift 2016 for sale in Islamabad,Suzuki,2016,2295000,Islamabad
Audi e-tron 2021 for sale in Karachi,Audi,2021,15200000,Karachi
Audi A5 2019 for sale in Lahore,Audi,2019,12900000,Lahore
Honda City 2018 for sale in Lahore,Honda,2018,3000000,Lahore
Toyota Yaris Sedan 2020 for sale in Lahore,Toyota,2020,3900000,Lahore
Changan Alsvin 2024 for sale in Karachi,Changan,2024,3800000,Karachi
Changan Karvaan 2022 for sale in Lahore,Changan,2022,2400000,Lahore
Suzuki Cultus 2003 for sale in Lahore,Suzuki,2003,755000,Lahore
Honda Civic 2008 for sale in Lahore,Honda,2008,2485000,Lahore
Honda City 2000 for sale in Faisalabad,Honda,2000,850000,Faisalabad
Daihatsu Mira 2015 for sale in Karachi,Daihatsu,2015,2400000,Karachi
Suzuki Alto 2006 for sale in Lahore,Suzuki,2006,700000,Lahore
Toyota Corolla 2008 for sale in Peshawar,Toyota,2008,1780000,Peshawar
Toyota Corolla 2021 for sale in Rawalpindi,Toyota,2021,5975000,Rawalpindi
Honda Civic 2020 for sale in Lahore,Honda,2020,6680000,Lahore
Honda City 2019 for sale in Karachi,Honda,2019,3700000,Karachi
Toyota Raize 2020 for sale in Lahore,Toyota,2020,5690000,Lahore
Honda BR-V 2021 for sale in Lahore,Honda,2021,5200000,Lahore
Suzuki Alto 2021 for sale in Lahore,Suzuki,2021,2545000,Lahore
Honda Vezel 2019 for sale in Lahore,Honda,2019,7950000,Lahore
Honda N Wgn 2017 for sale in Sialkot,Honda,2017,2750000,Sialkot
Suzuki Cultus 2011 for sale in Bahawalpur,Suzuki,2011,1600000,Bahawalpur
Suzuki Wagon R 2018 for sale in Gujranwala,Suzuki,2018,3000000,Gujranwala
Toyota Yaris Hatchback 2022 for sale in Islamabad,Toyota,2022,4580000,Islamabad
Haval H6 2023 for sale in Islamabad,Haval,2023,9400000,Islamabad
Honda City 2010 for sale in Multan,Honda,2010,2550000,Multan
Hyundai Santa Fe 2024 for sale in Karachi,Hyundai,2024,13500000,Karachi
Suzuki Cultus 2015 for sale in Karachi,Suzuki,2015,1465000,Karachi
Toyota Fortuner 2021 for sale in Lahore,Toyota,2021,15500000,Lahore
Suzuki Mehran 2017 for sale in Lahore,Suzuki,2017,1270000,Lahore
Suzuki Ciaz 2017 for sale in Rawalpindi,Suzuki,2017,2900000,Rawalpindi
Suzuki Baleno 2001 for sale in Wah cantt,Suzuki,2001,1050000,Wah cantt
Hyundai Tucson 2022 for sale in Rawalpindi,Hyundai,2022,6950000,Rawalpindi
KIA Sportage 2020 for sale in Karachi,KIA,2020,6200000,Karachi
Suzuki Wagon R 2022 for sale in Islamabad,Suzuki,2022,3445000,Islamabad
Hyundai Sonata 2022 for sale in Multan,Hyundai,2022,9500000,Multan
KIA Picanto 2022 for sale in Karachi,KIA,2022,2350000,Karachi
KIA Sportage 2022 for sale in Lahore,KIA,2022,7600000,Lahore
Honda City 2017 for sale in Islamabad,Honda,2017,3680000,Islamabad
Toyota Passo 2015 for sale in Karachi,Toyota,2015,2640000,Karachi
Toyota Corolla 2014 for sale in Lahore,Toyota,2014,4100000,Lahore
Honda N Wgn 2014 for sale in Karachi,Honda,2014,2450000,Karachi
Honda Civic 2010 for sale in Lahore,Honda,2010,2675000,Lahore
Suzuki Wagon R 2018 for sale in Jhelum,Suzuki,2018,2550000,Jhelum
Daihatsu Cuore 2007 for sale in Lahore,Daihatsu,2007,1055500,Lahore
Suzuki Cultus 2018 for sale in Islamabad,Suzuki,2018,3025000,Islamabad
Toyota Corolla 2012 for sale in Lahore,Toyota,2012,3350000,Lahore
Honda Civic 2017 for sale in Karachi,Honda,2017,4700000,Karachi
Suzuki Ravi 2015 for sale in Karachi,Suzuki,2015,1200000,Karachi
Suzuki Alto 2008 for sale in Rawalpindi,Suzuki,2008,1400000,Rawalpindi
Toyota Land Cruiser 2022 for sale in Karachi,Toyota,2022,53000000,Karachi
Suzuki Bolan 2019 for sale in Sialkot,Suzuki,2019,1500000,Sialkot
Suzuki Bolan 2012 for sale in Karachi,Suzuki,2012,1000000,Karachi
Suzuki Alto 2025 for sale in Karachi,Suzuki,2025,3275000,Karachi
Toyota Prado 2018 for sale in Karachi,Toyota,2018,24500000,Karachi
BMW i5 2024 for sale in Lahore,BMW,2024,36500000,Lahore
Suzuki Alto 2020 for sale in Lahore,Suzuki,2020,2500000,Lahore
Suzuki Alto 2022 for sale in Karachi,Suzuki,2022,2650000,Karachi
Suzuki Bolan 1990 for sale in Lahore,Suzuki,1990,415000,Lahore
Toyota Corolla 2010 for sale in Islamabad,Toyota,2010,2500000,Islamabad
Suzuki Cultus 2004 for sale in Karachi,Suzuki,2004,630000,Karachi
Toyota Vitz 2011 for sale in Lahore,Toyota,2011,2650000,Lahore
Suzuki Mehran 2013 for sale in Faisalabad,Suzuki,2013,1010000,Faisalabad
Toyota Aqua 2013 for sale in Karachi,Toyota,2013,3280000,Karachi
Toyota Surf 1996 for sale in Multan,Toyota,1996,3500000,Multan
Honda City 2016 for sale in Chichawatni,Honda,2016,3100000,Chichawatni
Suzuki Mehran 2004 for sale in Karachi,Suzuki,2004,450000,Karachi
Toyota Vitz 2011 for sale in Islamabad,Toyota,2011,2850000,Islamabad
Suzuki Swift 2016 for sale in Islamabad,Suzuki,2016,2295000,Islamabad
Honda Civic 2024 for sale in Lahore,Honda,2024,8600000,Lahore
Ford Ranger 2022 for sale in Karachi,Ford,2022,31000000,Karachi
Nissan Dayz Roox 2022 for sale in Rawalpindi,Nissan,2022,3480000,Rawalpindi
Toyota Corolla 2012 for sale in Islamabad,Toyota,2012,3100000,Islamabad
Honda Civic 2005 for sale in Karachi,Honda,2005,1750000,Karachi
Honda City 2018 for sale in Islamabad,Honda,2018,3690000,Islamabad
Daihatsu Tanto 2021 for sale in Karachi,Daihatsu,2021,3690000,Karachi
KIA Picanto 2023 for sale in Karachi,KIA,2023,2950000,Karachi
Honda Civic 2014 for sale in Islamabad,Honda,2014,3565000,Islamabad
Haval H6 2023 for sale in Lahore,Haval,2023,10800000,Lahore
Suzuki Cultus 2009 for sale in Lahore,Suzuki,2009,1170000,Lahore
Haval Jolion 2021 for sale in Lahore,Haval,2021,7150000,Lahore
Honda Accord 2004 for sale in Lahore,Honda,2004,2730000,Lahore
Audi e-tron 2021 for sale in Karachi,Audi,2021,15200000,Karachi
Suzuki Cultus 2018 for sale in Lahore,Suzuki,2018,2700000,Lahore
Honda Vezel 2015 for sale in Lahore,Honda,2015,4800000,Lahore
Audi A5 2019 for sale in Lahore,Audi,2019,12900000,Lahore
Honda City 2018 for sale in Lahore,Honda,2018,3000000,Lahore
Toyota Yaris Sedan 2020 for sale in Lahore,Toyota,2020,3900000,Lahore
